1649033340,200,600,0,0,461,2616,2594,2398,888,2383,400
400
1649033343.000001,200,600,0,0,2510,465,2683,890,2324,2445,400
1649033343.000002,200,600,0,0,2154,575,3017,967,2074,2679,400
1649033343.000003,200,600,0,0,1806,751,3200,1090,1830,2808,400
1649033343.000004,200,600,0,0,1378,994,3297,1260,1530,2876,400
1649033343.000005,200,600,0,0,977,1398,3292,1544,1249,2872,400
1649033343.000006,200,600,0,0,738,1737,3198,1782,1081,2806,400
1649033343.000007,200,600,0,0,567,2087,3020,2027,961,2682,400
1649033343.000008,200,600,0,0,463,2529,2667,2337,888,2434,400
1649033343.000009,200,600,0,0,484,2818,2355,2540,903,2215,400
1649033343.000010,200,600,0,0,589,3052,2026,2704,976,1985,400
1649033343.000011,200,600,0,0,847,3254,1561,2846,1157,1658,400
1649033343.000012,200,600,0,0,1115,3312,1237,2886,1345,1431,400
1649033343.000013,200,600,0,0,1429,3282,948,2865,1565,1229,400
1649033343.000014,200,600,0,0,1887,3117,657,2750,1887,1024,400
1649033343.000015,200,600,0,0,2232,2904,512,2600,2129,923,400
1649033343.000016,200,600,0,0,2558,2632,461,2409,2357,888,400
1649033343.000017,200,600,0,0,2843,2316,484,2188,2557,903,400
1649033343.000018,200,600,0,0,3042,1857,668,1866,2697,1032,400
1649033343.000019,200,600,0,0,3263,1511,881,1623,2852,1182,400
1649033343.000020,200,600,0,0,3312,1190,1147,1398,2886,1368,400
1649033343.000021,200,600,0,0,3245,827,1578,1144,2839,1670,400
1649033343.000022,200,600,0,0,3100,627,1925,1003,2737,1914,400
1649033343.000023,200,600,0,0,2882,503,2270,916,2584,2155,400
1649033343.000024,200,600,0,0,2693,461,2767,888,2452,2504,400
1649033343.000025,200,600,0,0,2171,537,3127,940,2086,2756,400
1649033343.000026,200,600,0,0,1823,690,3154,1047,1842,2775,400
1649033343.000027,200,600,0,0,1480,913,3276,1204,1601,2861,400
1649033343.000028,200,600,0,0,1063,1298,3306,1474,1309,2882,400
1649033343.000029,200,600,0,0,805,1630,3229,1707,1128,2828,400
1649033343.000030,200,600,0,0,612,1978,3072,1951,992,2718,400
1649033343.000031,200,600,0,0,495,2321,2846,2191,910,2559,400
1649033343.000032,200,600,0,0,469,2734,2455,2481,892,2285,400
1649033343.000033,200,600,0,0,637,2987,2121,2658,1010,2051,400
1649033343.000034,200,600,0,0,707,3174,1785,2790,1059,1815,400
1649033343.000035,200,600,0,0,937,3284,1431,2866,1220,1567,400
1649033343.000036,200,600,0,0,1328,3300,1032,2878,1495,1287,400
1649033343.000037,200,600,0,0,1663,3215,772,2818,1730,1105,400
1649033343.000038,200,600,0,0,2011,3048,591,2701,1974,978,400
1649033343.000039,200,600,0,0,2461,2722,466,2473,2289,890,400
1649033343.000040,200,600,0,0,2760,2417,476,2258,2499,897,400
1649033343.000041,200,600,0,0,3008,2079,565,2022,2673,960,400
1649033343.000042,200,600,0,0,3188,1731,737,1777,2799,1080,400
1649033343.000043,200,600,0,0,3306,1284,1058,1464,2882,1305,400
1649033343.000044,200,600,0,0,3296,989,1364,1257,2875,1520,400
1649033343.000045,200,600,0,0,3202,747,1880,1087,2809,1882,400
1649033343.000046,200,600,0,0,3045,532,2165,937,2699,2082,400
1649033343.000047,200,600,0,0,2606,463,2496,888,2391,2314,400
1649033343.000048,200,600,0,0,2386,482,2790,902,2237,2520,400
1649033343.000049,200,600,0,0,2047,582,3027,971,1999,2687,400
1649033343.000050,200,600,0,0,1584,838,3236,1151,1674,2833,400
1649033343.000051,200,600,0,0,1255,1102,3312,1336,1444,2886,400
1649033343.000052,200,600,0,0,964,1414,3289,1555,1239,2870,400
1649033343.000053,200,600,0,0,663,1872,3130,1876,1029,2759,400
1649033343.000054,200,600,0,0,522,2219,2933,2119,930,2621,400
1649033343.000055,200,600,0,0,462,2545,2666,2348,888,2433,400
1649033343.000056,200,600,0,0,487,2832,2350,2549,905,2211,400
1649033343.000057,200,600,0,0,650,3124,1711,2754,1019,1763,400
1649033343.000058,200,600,0,0,859,3259,1546,2849,1166,1648,400
1649033343.000059,200,600,0,0,1130,3311,1212,2886,1356,1414,400
1649033343.000060,200,600,0,0,1558,3251,843,2843,1656,1155,400
1649033343.000061,200,600,0,0,1904,3108,470,2743,1899,893,400
1649033343.000062,200,600,0,0,2250,2892,508,2592,2141,920,400
1649033343.000063,200,600,0,0,2573,2617,461,2398,2368,888,400
1649033343.000064,200,600,0,0,2938,2185,518,2096,2624,927,400
1649033343.000065,200,600,0,0,3140,1838,666,1852,2766,1030,400
1649033343.000066,200,600,0,0,3268,1494,886,1612,2855,1185,400
1649033343.000067,200,600,0,0,3308,1075,1266,1318,2884,1451,400
1649033343.000068,200,600,0,0,3240,815,1607,1135,2835,1690,400
1649033343.000069,200,600,0,0,3090,619,1943,997,2731,1926,400
1649033343.000070,200,600,0,0,2780,499,2298,913,2513,2175,400
1649033343.000071,200,600,0,0,2485,466,2705,890,2306,2460,400
1649033343.000072,200,600,0,0,2154,544,2960,945,2074,2639,400
1649033343.000073,200,600,0,0,1717,699,3162,1054,1767,2781,400
1649033343.000074,200,600,0,0,1463,926,3269,1213,1589,2856,400
1649033344.000075,200,600,0,0,1048,1315,3302,1486,1299,2879,400
1649033344.000076,200,600,0,0,793,1649,3232,1720,1120,2830,400
1649033344.000077,200,600,0,0,604,1998,3073,1964,987,2719,400
1649033344.000078,200,600,0,0,472,2447,2751,2280,894,2493,400
1649033344.000079,200,600,0,0,471,2750,2450,2492,894,2282,400
1649033344.000080,200,600,0,0,554,2998,2112,2666,952,2045,400
1649033344.000081,200,600,0,0,717,3182,1764,2795,1066,1801,400
1649033344.000082,200,600,0,0,1041,3305,1317,2881,1293,1487,400
1649033344.000083,200,600,0,0,1256,3298,1006,2876,1444,1269,400
1649033344.000084,200,600,0,0,1681,3207,761,2813,1742,1097,400
1649033344.000085,200,600,0,0,2145,2966,540,2644,2068,942,400
1649033344.000086,200,600,0,0,2477,2708,467,2462,2301,891,400
1649033344.000087,200,600,0,0,2685,2400,479,2247,2447,899,400
1649033344.000088,200,600,0,0,3086,1945,624,1928,2727,1001,400
1649033344.000089,200,600,0,0,3237,1599,987,1685,2834,1256,400
1649033344.000090,200,600,0,0,3308,1268,1083,1453,2883,1323,400
1649033344.000091,200,600,0,0,3293,975,1381,1247,2873,1532,400
1649033344.000092,200,600,0,0,3144,672,1838,1035,2769,1853,400
1649033344.000093,200,600,0,0,2944,526,2183,933,2628,2094,400
1649033344.000094,200,600,0,0,2681,462,2512,888,2443,2325,400
1649033344.000095,200,600,0,0,2369,484,2801,903,2225,2528,400
1649033344.000096,200,600,0,0,1913,642,3102,1014,1905,2739,400
1649033344.000097,200,600,0,0,1567,850,3253,1159,1662,2845,400
1649033344.000098,200,600,0,0,1239,1117,3310,1347,1432,2885,400
1649033344.000099,200,600,0,0,865,1543,3267,1646,1170,2855,400
1649033344.000100,200,600,0,0,654,1890,3130,1889,1022,2758,400
1649033344.000101,200,600,0,0,517,2235,2921,2131,926,2612,400
1649033344.000102,200,600,0,0,461,2559,2648,2358,888,2421,400
1649033344.000103,200,600,0,0,519,2927,2218,2616,928,2119,400
1649033344.000104,200,600,0,0,659,3133,1874,2761,1026,1878,400
1649033344.000105,200,600,0,0,865,3262,1359,2851,1170,1517,400
1649033344.000106,200,600,0,0,1137,3312,1212,2886,1361,1414,400
1649033344.000107,200,600,0,0,1567,3247,848,2841,1662,1158,400
1649033344.000108,200,600,0,0,1913,3102,635,2739,1905,1009,400
